signal_id,source_code,source_type,category_code,product_terms,buying_action,title,description_raw,specs_present,quantity_raw,destination_present,buyer_name_raw,contact_person_raw,buyer_country_raw,buyer_country_code,buyer_domain,registration_id,public_business_emails,public_business_phones,published_at,observed_at,age_days,time_precision,evidence_url,listing_url,evidence_excerpt,snapshot_sha256,data_mode,verification_status,contact_gate,d1_demand_explicitness,d2_entity_authenticity,d3_recency,d4_corroboration,truth_score,truth_level,hard_gate_pass,qualification_status,dedupe_fingerprint,ruleset_version,duplicate_count,duplicate_source_codes
5a397e284065df09a74ec225bcfbe196,go4worldbusiness,B2B_MARKETPLACE_RFQ,CHILI,CHILI,RFQ_OR_BUY_OFFER,Wanted : Spices Like Dry Red Chili,"VERIFIED Aug-27-26 Wanted : Spices Like Dry Red Chili Buyer From United Arab Emirates Quantity Required: 1 Twenty-Foot Container Payment Terms: L/C Destination: United Arab Emirates Looking for suppliers from: Worldwide Inquire Now Add to Favorites Product Description Please quote for the following wholesale product requirement - Product Name: Spices Specifications : Type: Dry Red Chili Whole Dry Chili, Stemless Chili, Crushed Chili, Chili Flakes, Chili Powder Purpose: Retail Note: Contact Email Only HS Code: 090422 Packaging Terms : Standard Quantity Required : 1 Twenty-Foot Container Shipping Terms : CIF Or FOB Destination Port : United Arab Emirates Payment Terms : L/C Looking for suppliers from : Worldwide Contact : Raviraj Deshmukh Buyer Of Spices | Dry Red Chilli",True,1 Twenty-Foot Container,True,,Raviraj Deshmukh,United Arab Emirates,AE,,,,,2026-08-27,2026-08-27T21:30:17+00:00,0,DATE,https://www.go4worldbusiness.com/buylead/view/1319728/wanted-:-spices-like-dry-red-chili.html,https://www.go4worldbusiness.com/buyers/chili.html,"VERIFIED Aug-27-26 Wanted : Spices Like Dry Red Chili Buyer From United Arab Emirates Quantity Required: 1 Twenty-Foot Container Payment Terms: L/C Destination: United Arab Emirates Looking for suppliers from: Worldwide Inquire Now Add to Favorites Product Description Please quote for the following wholesale product requirement - Product Name: Spices Specifications : Type: Dry Red Chili Whole Dry Chili, Stemless Chili, Crushed Chili, Chili Flakes, Chili Powder Purpose: Retail Note: Contact Email Only HS Code: 090422 Packaging Terms : Standard Quantity Required : 1 Twenty-Foot Container Shipping Terms : CIF Or FOB Destination Port : United Arab Emirates Payment Terms : L/C Looking for suppliers from : Worldwide Contact : Raviraj Deshmukh Buyer Of Spices | Dry Red Chilli",a4227cd62580f3ac862fda7e2d3179ffb6e70c544296e655db3c96241ad6ffac,LIVE,UNVERIFIED_MARKETPLACE_POST,platform_login_or_membership,35,5,25,4,69,B,True,QUALIFIED,9f334919b01b2ebe704ce6f685c8ca064b52a8726c7d0d59cd5cb5afd906b873,truth-v1.0.0,1,go4worldbusiness
7b25467f8974985fb3d8e004f2dfa369,go4worldbusiness,B2B_MARKETPLACE_RFQ,TEA,TEA,RFQ_OR_BUY_OFFER,"Wanted : Tea Like Green Tea, Black Tea, Herbal Tea","VERIFIED Aug-21-26 Wanted : Tea Like Green Tea, Black Tea, Herbal Tea Buyer From United Kingdom Quantity Required: 2 Twenty-Foot Container Payment Terms: LC Destination: United Kingdom Looking for suppliers from: Worldwide Inquire Now Add to Favorites Product Description Please quote for the following wholesale product requirement - Product Name : Tea Specifications: Type : Green Tea, Black Tea, Herbal Tea Etc. Hs Code 0902 Quantity Required : 2 Twenty-Foot Container Shipping Terms : CIF Destination Port : United Kingdom Payment Terms : LC Looking for suppliers from : Worldwide Contact : Ahmed Buyer Of Tea | Green Tea | Herbal Tea",True,2 Twenty-Foot Container,True,,Ahmed,United Kingdom,GB,,,,,2026-08-21,2026-08-27T21:30:19+00:00,6,DATE,https://www.go4worldbusiness.com/buylead/view/1318493/wanted-:-tea-like-green-tea-black-tea-herbal-tea.html,https://www.go4worldbusiness.com/buyers/tea.html,"VERIFIED Aug-21-26 Wanted : Tea Like Green Tea, Black Tea, Herbal Tea Buyer From United Kingdom Quantity Required: 2 Twenty-Foot Container Payment Terms: LC Destination: United Kingdom Looking for suppliers from: Worldwide Inquire Now Add to Favorites Product Description Please quote for the following wholesale product requirement - Product Name : Tea Specifications: Type : Green Tea, Black Tea, Herbal Tea Etc. Hs Code 0902 Quantity Required : 2 Twenty-Foot Container Shipping Terms : CIF Destination Port : United Kingdom Payment Terms : LC Looking for suppliers from : Worldwide Contact : Ahmed Buyer Of Tea | Green Tea | Herbal Tea",6a43906c35b374a9dbf831a955165a66e2aee14ca39a30628c3b28d24ff63e1c,LIVE,UNVERIFIED_MARKETPLACE_POST,platform_login_or_membership,35,5,25,4,69,B,True,QUALIFIED,8326eb63bbf200a096e881532d0224c82f04312a036c2808a6033de64f749139,truth-v1.0.0,1,go4worldbusiness
ab1e172d3a60b7ca74baed8ee3ab25f5,go4worldbusiness,B2B_MARKETPLACE_RFQ,TEA,TEA,RFQ_OR_BUY_OFFER,"Wanted : Herbal Tea Like Green Tea, Chamomile Tea","VERIFIED Aug-25-26 Wanted : Herbal Tea Like Green Tea, Chamomile Tea Buyer From Thailand Quantity Required: 1 Twenty-Foot Container Payment Terms: L/C Destination: Laem Chabang, Thailand Looking for suppliers from: Worldwide Inquire Now Add to Favorites Product Description The buyer would like to receive quotations for - Product Name: Herbal Tea Specifications : Type: Green Tea, Chamomile Tea, Peppermint, Ginger Tea Purpose : Wholesaler Note: Contact Via Email Only HS Code: 090210, 121190 Packaging Terms : Carton Boxes Quantity Required : 1 Twenty-Foot Container Shipping Terms : CIF Destination Port : Laem Chabang, Thailand Payment Terms : L/C Looking for suppliers from : Worldwide Contact : Sutee Buyer Of Tea | Green Tea | Herbal Tea | Chamomile Tea",True,1 Twenty-Foot Container,True,,Sutee,Thailand,TH,,,,,2026-08-25,2026-08-27T21:30:19+00:00,2,DATE,https://www.go4worldbusiness.com/buylead/view/1319024/wanted-:-herbal-tea-like-green-tea-chamomile-tea.html,https://www.go4worldbusiness.com/buyers/tea.html,"VERIFIED Aug-25-26 Wanted : Herbal Tea Like Green Tea, Chamomile Tea Buyer From Thailand Quantity Required: 1 Twenty-Foot Container Payment Terms: L/C Destination: Laem Chabang, Thailand Looking for suppliers from: Worldwide Inquire Now Add to Favorites Product Description The buyer would like to receive quotations for - Product Name: Herbal Tea Specifications : Type: Green Tea, Chamomile Tea, Peppermint, Ginger Tea Purpose : Wholesaler Note: Contact Via Email Only HS Code: 090210, 121190 Packaging Terms : Carton Boxes Quantity Required : 1 Twenty-Foot Container Shipping Terms : CIF Destination Port : Laem Chabang, Thailand Payment Terms : L/C Looking for suppliers from : Worldwide Contact : Sutee Buyer Of Tea | Green Tea | Herbal Tea | Chamomile Tea",6a43906c35b374a9dbf831a955165a66e2aee14ca39a30628c3b28d24ff63e1c,LIVE,UNVERIFIED_MARKETPLACE_POST,platform_login_or_membership,35,5,25,4,69,B,True,QUALIFIED,846151bfcb9998502f19a79e8e269ee501c1814ac54c78ac9c9197f2a85e9af0,truth-v1.0.0,1,go4worldbusiness
dbc76dbc30ec7803a2cf2b2b02eadefc,go4worldbusiness,B2B_MARKETPLACE_RFQ,MATCHA,MATCHA,RFQ_OR_BUY_OFFER,"Wanted : Tea Like Masala Tea, Matcha Tea","VERIFIED Aug-27-26 Wanted : Tea Like Masala Tea, Matcha Tea Buyer From United Kingdom Quantity Required: 5 Kilograms Payment Terms: Bank Transfer Destination: United Kingdom Looking for suppliers from: Worldwide Inquire Now Add to Favorites Product Description Please quote for the following wholesale product requirement - Product Name: Tea Specifications : Type: Masala Tea, Matcha Tea Beverage Quantity: 5 Kg Sample Initially LCL Note: Contact Email Only HS Code: 090230, 090220 Quantity Required : 5 Kilogram/Kilograms(sample) Shipping Terms : CIF Destination Port : United Kingdom Payment Terms : Bank Transfer Looking for suppliers from : Worldwide Contact : Arun Bowry Buyer Of Tea | Masala Tea | Matcha Tea",True,5 Kilograms,True,,Arun Bowry,United Kingdom,GB,,,,,2026-08-27,2026-08-27T21:30:11+00:00,0,DATE,https://www.go4worldbusiness.com/buylead/view/1319785/wanted-:-tea-like-masala-tea-matcha-tea.html,https://www.go4worldbusiness.com/buyers/matcha.html,"VERIFIED Aug-27-26 Wanted : Tea Like Masala Tea, Matcha Tea Buyer From United Kingdom Quantity Required: 5 Kilograms Payment Terms: Bank Transfer Destination: United Kingdom Looking for suppliers from: Worldwide Inquire Now Add to Favorites Product Description Please quote for the following wholesale product requirement - Product Name: Tea Specifications : Type: Masala Tea, Matcha Tea Beverage Quantity: 5 Kg Sample Initially LCL Note: Contact Email Only HS Code: 090230, 090220 Quantity Required : 5 Kilogram/Kilograms(sample) Shipping Terms : CIF Destination Port : United Kingdom Payment Terms : Bank Transfer Looking for suppliers from : Worldwide Contact : Arun Bowry Buyer Of Tea | Masala Tea | Matcha Tea",2d473300a96d21d188c4039c0c9a3477d3584e8f87581dd8be852219cd6b768e,LIVE,UNVERIFIED_MARKETPLACE_POST,platform_login_or_membership,35,5,25,4,69,B,True,QUALIFIED,ebf8303cb135e683d5d86e44fd00e4c45d8485f5630c4c1f3faa36f43db4d349,truth-v1.0.0,2,go4worldbusiness
02afd75c2f6ba514625cc998952a7949,go4worldbusiness,B2B_MARKETPLACE_RFQ,TEA,TEA,RFQ_OR_BUY_OFFER,Wanted : Tea Like Black Tea,VERIFIED Aug-20-26 Wanted : Tea Like Black Tea Buyer From Greece Quantity Required: 1 Twenty-Foot Container Payment Terms: Bank Transfer Destination: Greece Looking for suppliers from: India Inquire Now Add to Favorites Product Description The buyer would like to receive quotations for - Product Name: Tea Specifications : Type: Black Tea Packaging : Standard Use : Retail & Distribution Purpose Harmonized System (HS) Code: 0902.30 Quantity Required : 1 Twenty-Foot Container Shipping Terms : CIF Destination Port : Greece Payment Terms : Bank Transfer Looking for suppliers from : India Contact : Malen Imports Buyer Of Tea | Black Tea,False,1 Twenty-Foot Container,True,,Malen Imports,Greece,GR,,,,,2026-08-20,2026-08-27T21:30:19+00:00,7,DATE,https://www.go4worldbusiness.com/buylead/view/1318234/wanted-:-tea-like-black-tea.html,https://www.go4worldbusiness.com/buyers/tea.html,VERIFIED Aug-20-26 Wanted : Tea Like Black Tea Buyer From Greece Quantity Required: 1 Twenty-Foot Container Payment Terms: Bank Transfer Destination: Greece Looking for suppliers from: India Inquire Now Add to Favorites Product Description The buyer would like to receive quotations for - Product Name: Tea Specifications : Type: Black Tea Packaging : Standard Use : Retail & Distribution Purpose Harmonized System (HS) Code: 0902.30 Quantity Required : 1 Twenty-Foot Container Shipping Terms : CIF Destination Port : Greece Payment Terms : Bank Transfer Looking for suppliers from : India Contact : Malen Imports Buyer Of Tea | Black Tea,6a43906c35b374a9dbf831a955165a66e2aee14ca39a30628c3b28d24ff63e1c,LIVE,UNVERIFIED_MARKETPLACE_POST,platform_login_or_membership,30,5,25,4,64,B,True,QUALIFIED,9b1cc14f4173cafa93a19fca1730f72dc19ebea8030de2b361311a45001d9a67,truth-v1.0.0,1,go4worldbusiness
0c404c271793f45734c67eb3238012df,go4worldbusiness,B2B_MARKETPLACE_RFQ,TEA,TEA,RFQ_OR_BUY_OFFER,Wanted : Tea Like Black And Green Tea,"VERIFIED Aug-25-26 Wanted : Tea Like Black And Green Tea Buyer From United Arab Emirates Quantity Required: 1 Twenty-Foot Container Payment Terms: LC Destination: Jebel Ali, United Arab Emirates Looking for suppliers from: India Inquire Now Add to Favorites Product Description Please provide a quotation to the following requirement from importer - Product Name: Tea Specifications: Black And Green Tea Looking For Suppliers From : Assam Quantity Required : 1 Twenty-Foot Container Shipping Terms : CIF Destination Port : Jebel Ali, United Arab Emirates Payment Terms : LC Looking for suppliers from : India Contact : Mr. Roy Buyer Of Tea | Black Tea | Green Tea",False,1 Twenty-Foot Container,True,,Mr. Roy,United Arab Emirates,AE,,,,,2026-08-25,2026-08-27T21:30:19+00:00,2,DATE,https://www.go4worldbusiness.com/buylead/view/1319147/wanted-:-tea-like-black-and-green-tea.html,https://www.go4worldbusiness.com/buyers/tea.html,"VERIFIED Aug-25-26 Wanted : Tea Like Black And Green Tea Buyer From United Arab Emirates Quantity Required: 1 Twenty-Foot Container Payment Terms: LC Destination: Jebel Ali, United Arab Emirates Looking for suppliers from: India Inquire Now Add to Favorites Product Description Please provide a quotation to the following requirement from importer - Product Name: Tea Specifications: Black And Green Tea Looking For Suppliers From : Assam Quantity Required : 1 Twenty-Foot Container Shipping Terms : CIF Destination Port : Jebel Ali, United Arab Emirates Payment Terms : LC Looking for suppliers from : India Contact : Mr. Roy Buyer Of Tea | Black Tea | Green Tea",6a43906c35b374a9dbf831a955165a66e2aee14ca39a30628c3b28d24ff63e1c,LIVE,UNVERIFIED_MARKETPLACE_POST,platform_login_or_membership,30,5,25,4,64,B,True,QUALIFIED,a14e5ff59804c74fd6d44fbf24c628aafee0a8bda705d271df69d92a8e602cce,truth-v1.0.0,1,go4worldbusiness
4f06c1f16692029d09da7cd9a74359ee,go4worldbusiness,B2B_MARKETPLACE_RFQ,BLUEBERRY,BLUEBERRY,RFQ_OR_BUY_OFFER,"Wanted : Frozen Fruits Like Mango, Strawberry And Blueberry","VERIFIED Aug-25-26 Wanted : Frozen Fruits Like Mango, Strawberry And Blueberry Buyer From Oman Quantity Required: 1 Twenty-Foot Container Payment Terms: L/C Destination: Oman Looking for suppliers from: India, Brazil Inquire Now Add to Favorites Product Description Please quote for the following wholesale product requirement - Product Name: Frozen Fruits Specifications : Type: Mango, Strawberry, Blueberry, Raspberry, Pineapple Purpose : Food Wholesaler Note: Contact Via Email Only HS Code: 081190, 081110 Packaging Terms : Standard Quantity Required : 1 Twenty-Foot Container Shipping Terms : FOB Or CIF Destination Port : Oman Payment Terms : L/C Looking for suppliers from : India, Brazil Contact : Shihab Buyer Of IQF or Frozen Fruits | Frozen Mango | Berries | Blueberry | Strawberry",True,1 Twenty-Foot Container,True,,Shihab,Oman,,,,,,2026-08-25,2026-08-27T21:30:13+00:00,2,DATE,https://www.go4worldbusiness.com/buylead/view/1319131/wanted-:-frozen-fruits-like-mango-strawberry-and-blueberry.html,https://www.go4worldbusiness.com/buyers/blueberries.html,"VERIFIED Aug-25-26 Wanted : Frozen Fruits Like Mango, Strawberry And Blueberry Buyer From Oman Quantity Required: 1 Twenty-Foot Container Payment Terms: L/C Destination: Oman Looking for suppliers from: India, Brazil Inquire Now Add to Favorites Product Description Please quote for the following wholesale product requirement - Product Name: Frozen Fruits Specifications : Type: Mango, Strawberry, Blueberry, Raspberry, Pineapple Purpose : Food Wholesaler Note: Contact Via Email Only HS Code: 081190, 081110 Packaging Terms : Standard Quantity Required : 1 Twenty-Foot Container Shipping Terms : FOB Or CIF Destination Port : Oman Payment Terms : L/C Looking for suppliers from : India, Brazil Contact : Shihab Buyer Of IQF or Frozen Fruits | Frozen Mango | Berries | Blueberry | Strawberry",79610bad837fcdbe44919c5a8feba0dfbe159ee1347ca332a5a8fcd02d7fc682,LIVE,UNVERIFIED_MARKETPLACE_POST,platform_login_or_membership,35,0,25,4,64,B,True,QUALIFIED,1217197e04c8b1944f26f919ff18b8e5f321364ce74dce3f609e1e50206bd777,truth-v1.0.0,1,go4worldbusiness
7146345cf32a2194a008786b697abe82,go4worldbusiness,B2B_MARKETPLACE_RFQ,TEA,TEA,RFQ_OR_BUY_OFFER,"Wanted : Tea Like Green Tea, Black Tea","VERIFIED Aug-24-26 Wanted : Tea Like Green Tea, Black Tea Buyer From Qatar Quantity Required: 1 Twenty-Foot Container Payment Terms: LC Destination: Qatar Looking for suppliers from: Worldwide Inquire Now Add to Favorites Product Description Please quote for the following wholesale product requirement - Product Name: Tea Specifications: Green Tea, Black tea Quantity Required : 1 Twenty-Foot Container Shipping Terms : CIF Destination Port : Qatar Payment Terms : LC Looking for suppliers from : Worldwide Contact : Purchaser - Markaz Buyer Of Tea | Black Tea | Green Tea",False,1 Twenty-Foot Container,True,,Purchaser - Markaz,Qatar,QA,,,,,2026-08-24,2026-08-27T21:30:19+00:00,3,DATE,https://www.go4worldbusiness.com/buylead/view/1318749/wanted-:-tea-like-green-tea-black-tea.html,https://www.go4worldbusiness.com/buyers/tea.html,"VERIFIED Aug-24-26 Wanted : Tea Like Green Tea, Black Tea Buyer From Qatar Quantity Required: 1 Twenty-Foot Container Payment Terms: LC Destination: Qatar Looking for suppliers from: Worldwide Inquire Now Add to Favorites Product Description Please quote for the following wholesale product requirement - Product Name: Tea Specifications: Green Tea, Black tea Quantity Required : 1 Twenty-Foot Container Shipping Terms : CIF Destination Port : Qatar Payment Terms : LC Looking for suppliers from : Worldwide Contact : Purchaser - Markaz Buyer Of Tea | Black Tea | Green Tea",6a43906c35b374a9dbf831a955165a66e2aee14ca39a30628c3b28d24ff63e1c,LIVE,UNVERIFIED_MARKETPLACE_POST,platform_login_or_membership,30,5,25,4,64,B,True,QUALIFIED,2a05eecaddce1ca6f301a1d9b0897cb2d8a891a045135c94103b0eed834dd4a8,truth-v1.0.0,1,go4worldbusiness
0363e837fc9a023423f8ffab32d08891,go4worldbusiness,B2B_MARKETPLACE_RFQ,MATCHA,MATCHA,RFQ_OR_BUY_OFFER,Wanted : Tea Like Sencha And Matcha Tea,"VERIFIED Aug-04-26 Wanted : Tea Like Sencha And Matcha Tea Buyer From Japan Quantity Required: 1 - 5 Kilograms Payment Terms: L/C Destination: Japan Looking for suppliers from: Worldwide Inquire Now Add to Favorites Product Description Please provide a quotation to the following requirement from importer - Product Name: Tea Specifications : Type: Sencha And Matcha Tea Ceremonial Or Premium Okimidori Matcha Quantity - 1 - 5 Kg As Sample Later 500 Kg HS Code: 090230, 090220 Quantity Required : 1 - 5 Kilogram/Kilograms(sample) Shipping Terms : CIF Destination Port : Japan Payment Terms : L/C Looking for suppliers from : Worldwide Contact : Praise Buyer Of Tea | Matcha Tea",True,1 - 5 Kilograms,True,,Praise,Japan,JP,,,,,2026-08-04,2026-08-27T21:30:11+00:00,23,DATE,https://www.go4worldbusiness.com/buylead/view/1314744/wanted-:-tea-like-sencha-and-matcha-tea.html,https://www.go4worldbusiness.com/buyers/matcha.html,"VERIFIED Aug-04-26 Wanted : Tea Like Sencha And Matcha Tea Buyer From Japan Quantity Required: 1 - 5 Kilograms Payment Terms: L/C Destination: Japan Looking for suppliers from: Worldwide Inquire Now Add to Favorites Product Description Please provide a quotation to the following requirement from importer - Product Name: Tea Specifications : Type: Sencha And Matcha Tea Ceremonial Or Premium Okimidori Matcha Quantity - 1 - 5 Kg As Sample Later 500 Kg HS Code: 090230, 090220 Quantity Required : 1 - 5 Kilogram/Kilograms(sample) Shipping Terms : CIF Destination Port : Japan Payment Terms : L/C Looking for suppliers from : Worldwide Contact : Praise Buyer Of Tea | Matcha Tea",2d473300a96d21d188c4039c0c9a3477d3584e8f87581dd8be852219cd6b768e,LIVE,UNVERIFIED_MARKETPLACE_POST,platform_login_or_membership,35,5,18,4,62,B,True,QUALIFIED,ab6296efe7765ead436c7e3e0977752a6b46b3baf81699bfac660f5e4a61648e,truth-v1.0.0,1,go4worldbusiness
0a13235209e3573383cdc7fdd8f8e8fb,go4worldbusiness,B2B_MARKETPLACE_RFQ,BLUEBERRY,BLUEBERRY,RFQ_OR_BUY_OFFER,"Wanted : Frozen Fruits Like Blueberries, Strawberries","VERIFIED Jul-31-26 Wanted : Frozen Fruits Like Blueberries, Strawberries Buyer From Canada Quantity Required: 1 Twenty-Foot Container Payment Terms: Bank Transfer, 7 days after arrival Destination: Canada Looking for suppliers from: Worldwide Inquire Now Add to Favorites Product Description Please provide a quotation to the following requirement from importer - Product Name: Frozen Fruits Specifications : Type: Blueberries, Strawberries & Others HS Code: 081190, 081110 Packaging Terms : Customized Quantity Required : 1 Twenty-Foot Container Shipping Terms : CIF Or FOB Destination Port : Canada Payment Terms : Bank Transfer, 7 days after arrival Looking for suppliers from : Worldwide Contact : Mb Global Foods Buyer Of Blueberry | Strawberry | Frozen Berries",True,1 Twenty-Foot Container,True,,Mb Global Foods,Canada,CA,,,,,2026-07-31,2026-08-27T21:30:13+00:00,27,DATE,https://www.go4worldbusiness.com/buylead/view/1314206/wanted-:-frozen-fruits-like-blueberries-strawberries.html,https://www.go4worldbusiness.com/buyers/blueberries.html,"VERIFIED Jul-31-26 Wanted : Frozen Fruits Like Blueberries, Strawberries Buyer From Canada Quantity Required: 1 Twenty-Foot Container Payment Terms: Bank Transfer, 7 days after arrival Destination: Canada Looking for suppliers from: Worldwide Inquire Now Add to Favorites Product Description Please provide a quotation to the following requirement from importer - Product Name: Frozen Fruits Specifications : Type: Blueberries, Strawberries & Others HS Code: 081190, 081110 Packaging Terms : Customized Quantity Required : 1 Twenty-Foot Container Shipping Terms : CIF Or FOB Destination Port : Canada Payment Terms : Bank Transfer, 7 days after arrival Looking for suppliers from : Worldwide Contact : Mb Global Foods Buyer Of Blueberry | Strawberry | Frozen Berries",79610bad837fcdbe44919c5a8feba0dfbe159ee1347ca332a5a8fcd02d7fc682,LIVE,UNVERIFIED_MARKETPLACE_POST,platform_login_or_membership,35,5,18,4,62,B,True,QUALIFIED,2f68d8160859be90bbb3167563fdacbd6b200bc7bdcaf2c9252501c09fa10353,truth-v1.0.0,1,go4worldbusiness
